KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-07-26,1.1787
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-07-27,1.181
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-07-28,1.1807
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-07-29,1.1873
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-07-30,1.1891
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-02,1.1886
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-03,1.1885
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-04,1.1861
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-05,1.185
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-06,1.1807
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-09,1.1761
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-10,1.1722
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-11,1.1718
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-12,1.1739
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-13,1.1765
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-16,1.1772
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-17,1.1767
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-18,1.1723
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-19,1.1696
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-20,1.1671
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-23,1.1718
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-24,1.174
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-25,1.1736
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-26,1.1767
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-27,1.1761
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-30,1.1801
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-08-31,1.1834
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-01,1.1817
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-02,1.1846
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-03,1.1872
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-06,1.1864
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-07,1.186
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-08,1.1827
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-09,1.1838
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-10,1.1841
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-13,1.178
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-14,1.1814
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-15,1.1824
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-16,1.1763
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-17,1.178
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-20,1.1711
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-21,1.1738
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-22,1.1729
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-23,1.1715
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-24,1.1719
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-27,1.1698
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-28,1.1678
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2021-09-29,1.1654
